"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-03-14","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-03-21","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-03-28","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-04-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-04-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-04-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-04-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-05-02","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-05-09","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-05-16","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-05-23","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-05-30","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-06-06","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-06-13","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-06-20","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-06-27","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-07-04","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","10","","","","0"
"2015-07-11","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
"2015-07-18","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","5","","","","0"
"2015-07-25","Newfoundland and Labrador, place of occurrence","2016A000210","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320339","2.2.1.1","0","","","","0"
