علت فوت,تعداد
بيماري هاي عفوني و انگلي,586
بيماريهاي سيستم عصبي,33
سرطانها و تومورها,482
بيماري هاي دستگاه تنفسي,726
بيماري هاي قلبي و عروقي,2065
بيماري هاي دستگاه گوارش,146
بيماري هاي دستگاه ادراري و تناسلي,93
شهادت,1
ناهنجاري هاي مادرزادي و کروموزومي,17
بيماري هاي اسکلتي و عضالني,3
بيماري هاي دوران حول تولد,11
عوارض حاملگي و زايمان,2
حوادث غير عمدي,249
عالئم و حاالت بد تعريف شده و مبهم,168
بيماري هاي خونساز و دستگاه ايمني,10
نامعلوم,376
بيماريهاي غدد،تغذيه و متابوليک,48
ساير,10
بيماريهاي رواني و اختالل رفتاري,5
جمع کل,5031
